id,user_id,admin_id,category,description,ip_address,browser,type,created_at,updated_at
1491,,2,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",admin,2022-09-28T07:43:53.000000Z,2022-09-28T07:43:53.000000Z
1490,,2,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",admin,2022-09-28T07:41:43.000000Z,2022-09-28T07:41:43.000000Z
1489,,2,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",admin,2022-09-28T07:39:44.000000Z,2022-09-28T07:39:44.000000Z
1488,,2,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",admin,2022-09-28T07:07:54.000000Z,2022-09-28T07:07:54.000000Z
1487,,2,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",admin,2022-09-28T07:00:51.000000Z,2022-09-28T07:00:51.000000Z
1486,,2,"Export Csv","Admin has export invoices",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",admin,2022-09-28T06:54:23.000000Z,2022-09-28T06:54:23.000000Z
1485,,2,"Export Csv","Admin has export invoices",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",admin,2022-09-28T06:44:11.000000Z,2022-09-28T06:44:11.000000Z
1484,,2,"Export Csv","Admin has export invoices",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",admin,2022-09-28T06:37:36.000000Z,2022-09-28T06:37:36.000000Z
1483,101,,"Add Proposal","Writer added a proposal on Voluptate enim sint project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",user,2022-09-28T06:23:51.000000Z,2022-09-28T06:23:51.000000Z
1482,90,,"Project Posted","Client posted a new project Voluptate enim sint project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",user,2022-09-28T06:23:19.000000Z,2022-09-28T06:23:19.000000Z
1481,90,,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",user,2022-09-28T05:39:15.000000Z,2022-09-28T05:39:15.000000Z
1480,90,,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",user,2022-09-28T05:33:16.000000Z,2022-09-28T05:33:16.000000Z
1479,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",admin,2022-09-28T05:08:30.000000Z,2022-09-28T05:08:30.000000Z
1478,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",admin,2022-09-28T05:07:50.000000Z,2022-09-28T05:07:50.000000Z
1477,115,,"Add Proposal","Writer added a proposal on Aute voluptatum sint project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",user,2022-09-27T11:28:11.000000Z,2022-09-27T11:28:11.000000Z
1476,90,,"Project Edit","User edit Aute voluptatum sint project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",user,2022-09-27T11:21:44.000000Z,2022-09-27T11:21:44.000000Z
1475,90,,"Project Posted","Client posted a new project Aute voluptatum sint project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",user,2022-09-27T11:20:44.000000Z,2022-09-27T11:20:44.000000Z
1474,115,,"Update Profile","Writer updated profile",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",user,2022-09-27T11:13:02.000000Z,2022-09-27T11:13:02.000000Z
1473,115,,Signup,"User Signup",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",user,2022-09-27T11:03:38.000000Z,2022-09-27T11:03:38.000000Z
1472,115,,Signin,"User Signin",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",user,2022-09-27T11:03:37.000000Z,2022-09-27T11:03:37.000000Z
1471,101,,Logout,"User logout",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",user,2022-09-27T11:02:30.000000Z,2022-09-27T11:02:30.000000Z
1470,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",admin,2022-09-27T10:48:21.000000Z,2022-09-27T10:48:21.000000Z
